Unnamed: 0,Brand,Name,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life
1103,MSI,MSI Cyborg 15 A12UDX-1048IN Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::617407::computer::laptops,79990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 1.7 Ghz Processor,LCD,15.6 ,"GeForce RTX 3050 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,no,
126,Acer,Acer One 14 Z8-415 (UN.599SI.009) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 256 GB SSD)::611718::computer::laptops,26999,Intel Core i3 (11th Gen),Intel, 32 GB Expandable,8 GB , DDR4 RAM , 3.0 Ghz Processor,LCD,14 ,Integrated,Intel,256 GB SSD Storage,No HDD,45,45W Adapter
2558,ASUS,ASUS ROG Zephyrus G16 GU603ZU-N3023WS Laptop (16 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 1 TB SSD)::612601::computer::laptops,114990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.3 Ghz Processor,LCD,16 ,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,240,240W Adapter
1156,MSI,MSI Thin A15 B7UC-067IN Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::616633::computer::laptops,71990,AMD Hexa-Core Ryzen 5,AMD, 64 GB Expandable,16 GB , DDR5 RAM , 3.3 Ghz Processor,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,no,
4186,ASUS,ASUS ROG Zephyrus M15 GU502LV-AZ016T Laptop (15.6 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 1 TB SSD)::582669::computer::laptops,128990,Intel Core i7 (10th Gen),Intel, 32 GB Expandable,16 GB , DDR4 RAM , 2.6 Ghz Processor,LED,15.6 ,"Geforce RTX 2060 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,230,230W Adapter
2125,Acer,Acer Nitro V ANV15-51 (NH.QNASI.001) Laptop (15.6 Inch | Core i5 13th Gen | 8 GB | Windows 11 | 512 GB SSD)::613387::computer::laptops,54990,Intel Core i5 (13th Gen) Processor,Intel, 32 GB Expandable,8 GB , DDR5 RAM ,0,LCD,15.6 ,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135,135W Adapter
3278,Lenovo,Lenovo ThinkBook 14s Yoga (20WEA01GIH) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD)::592277::computer::laptops,105000,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 2.3 Ghz Processor,LED,14 ,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
3360,ASUS,ASUS VivoBook Pro 15 M6500IH-HN701WS Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 8 GB | Windows 11 | 512 GB SSD)::597190::computer::laptops,50990,AMD Octa-Core Ryzen 7,AMD, 16 GB Expandable,8 GB , DDR4 RAM , 2.9 Ghz Processor,LED,15.6 ,"GeForce GTX 1650 Max Q GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,120,120W Adapter
502,Lenovo,Lenovo V15-IGL (82C3A008IH) Laptop (15.6 Inch | Intel Celeron Dual Core | 4 GB | DOS | 256 GB SSD)::598219::computer::laptops,23949,Intel Celeron Dual-Core,Intel,Not Expandable,4 GB , DDR4 RAM, 2.8 Ghz Processor,LCD,15.6 ,UHD,Intel,256 GB SSD Storage,No HDD,65,65W Adapter
4009,ASUS,ASUS Vivobook X515MA-EJ001T Laptop (15.6 Inch | Celeron Dual Core | 4 GB | Windows 10 | 1 TB HDD)::585646::computer::laptops,27889,Intel Celeron Dual-Core,Intel,Not Expandable,4 GB , DDR4 RAM, 1.1 Ghz Processor,LED,15.6 ,UHD 600,Intel,NO SSD,1024 GB HDD Storage,33,33W Adapter
1636,Lenovo,Lenovo Ideapad S340 (81VV00JFIN) Laptop (14 Inch | Core i3 10th Gen | 8 GB | Windows 10 | 256 GB SSD)::579817::computer::laptops,41990,Intel Core i3 (10th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 1.2 Ghz Processor,LED,14 ,UHD,Intel,256 GB SSD Storage,No HDD,65,65W Adapter
1407,Dell,Dell Vostro 3510 (BTS-ICC-D585051WIN8) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 1 TB HDD 256 GB SSD)::598960::computer::laptops,39990,Intel Core i3 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 4.0 Ghz Processor,LED,15.6 ,UHD,Intel,256 GB SSD Storage , 1024 GB HDD Storage,65, Upto 7 Hrs Battery Life
1299,ASUS,ASUS Zenbook 14 OLED UM3402YA-KM741WS Laptop (14 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::600148::computer::laptops,99990,AMD Octa-Core Ryzen 7,AMD,Not Expandable,16 GB LP, LPDDR4X RAM, 2.0 Ghz Processor,LED,14 ,Radeon,AMD,512 GB SSD Storage,No HDD,no,
3370,Acer,Acer Aspire 5 A515-51G -5673 (NX.GVLSI.001) Laptop (15.6 Inch | Core i5 7th Gen | 8 GB | Windows 10 | 1 TB HDD)::575986::computer::laptops,40990,Intel Core i5 (7th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 2.5 Ghz Processor,LED,15.6 ,"Geforce MX130 GPU, 2 GB",NVIDIA,NO SSD,1024 GB HDD Storage,65, Upto 7 Hrs Battery Life
3633,MSI,MSI GL65 Leopard 9SCXK-065IN Laptop (15.6 Inch | Core i5 9th Gen | 8 GB | Windows 10 | 512 GB SSD)::583593::computer::laptops,71990,Intel Core i5 (9th Gen) Processor,Intel,Not Expandable,8 GB , DDR4 RAM,0,LED,15.6 ,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,41,41W Adapter
387,Dell,Dell G15-5525 (D560817WIN9B) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::597145::computer::laptops,66215,AMD Hexa-Core Ryzen 5,AMD, 32 GB Expandable,8 GB , DDR5 RAM , 3.3 Ghz Processor,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life
152,AVITA,AVITA Liber NS14A8INV561 Laptop (14 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD)::582190::computer::laptops,42492,AMD Quad-Core Ryzen 5,AMD,Not Expandable,8 GB , DDR4 RAM, 2.1 Ghz Processor,LED,14 ,Radeon RX Vega 10,AMD,512 GB SSD Storage,No HDD,no,36.7W Adapter
1202,Samsung,Samsung Galaxy Book 4 360 NP750QGK-KG1IN Laptop (15.6 Inch | Core 5 Series 1 | 16 GB | Windows 11 | 512 GB SSD)::616286::computer::laptops,108990,Intel Core 5 (Series 1),Intel,Not Expandable,16 GB LP, LPDDR5 RAM, 1.4 Ghz Processor,LED,15.6 ,Graphics,Intel,512 GB SSD Storage,No HDD,65, Upto 8.7 Hrs Battery Life
1219,ASUS,ASUS ROG Zephyrus G16 GU605MI-QP001WS Laptop (16 Inch | Core Ultra 7 | 16 GB | Windows 11 | 1 TB SSD)::616242::computer::laptops,189990,Intel Core Ultra 7,Intel, 16 GB Expandable,16 GB LP, LPDDR5X RAM , 1.4 Ghz Processor,LCD,16 ,"GeForce RTX 4070 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,200,200W Adapter
3892,ASUS,ASUS Vivobook K15 OLED KM513UA-L502TS Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::595209::computer::laptops,57990,AMD Hexa-Core Ryzen 5,AMD, 12 GB Expandable,8 GB , DDR4 RAM , 2.1 Ghz Processor,LED,15.6 ,Radeon,AMD,256 GB SSD Storage , 1024 GB HDD Storage,65, Upto 4 Hrs Battery Life
1119,MSI,MSI Thin 15 B13VE-1800IN Laptop (15.6 Inch | Core i7 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::617395::computer::laptops,103990,Intel Core i7 (13th Gen),Intel, 64 GB Expandable,16 GB , DDR4 RAM , 1.8 Ghz Processor,LCD,15.6 ,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,no,
3702,Lenovo,Lenovo Ideapad L340 (81LG0094IN) Laptop (15.6 Inch | Core i5 8th Gen | 8 GB | DOS | 1 TB HDD)::575860::computer::laptops,39990,Intel Core i5 (8th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 1.6 Ghz Processor,LED,15.6 ,UHD 620,Intel,NO SSD,1024 GB HDD Storage,45, Upto 6 Hrs Battery Life
25,Lenovo,Lenovo Ideapad 3 15ITL6 (82H801L7IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::594573::computer::laptops,33900,Intel Core i3 (11th Gen),Intel, 12 GB Expandable,8 GB , DDR4 RAM , 4.0 Ghz Processor,LCD,15.6 ,UHD,Intel,512 GB SSD Storage,No HDD,45, Upto 12 Hrs Battery Life
1916,ASUS,ASUS VivoBook 15 X515EA-EJ502WS Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 1 TB HDD 256 GB SSD)::597584::computer::laptops,50990,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 2.4 Ghz Processor,LCD,15.6 ,Iris Xe,Intel,256 GB SSD Storage , 1024 GB HDD Storage,45,45W Adapter
2810,ASUS,ASUS ROG Strix G15 G513QE-HF144T Laptop (15.6 Inch | AMD Octa Core Ryzen 9 | 16 GB | Windows 10 | 1 TB SSD)::588193::computer::laptops,97990,AMD Octa-Core Ryzen 9,AMD, 32 GB Expandable,16 GB , DDR4 RAM , 3.0 Ghz Processor,LED,15.6 ,"GeForce RTX 3050 Ti GPU, 4 GB",NVIDIA,1024 GB SSD Storage,No HDD,no,
1962,HP,HP Victus 15-fb0108AX (7K8N1PA) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::612887::computer::laptops,51859,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,15.6 ,"Radeon RX 6500M  GPU, 4 GB",AMD,512 GB SSD Storage,No HDD,150,150W Adapter
733,Dell,Dell Inspiron 15 3520 (D560880WIN9S) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::599441::computer::laptops,56390,Intel Core i5 (12th Gen),Intel, 2 GB Expandable,8 GB , DDR4 RAM , 3.3 Ghz Processor,LCD,15.6 ,"GeForce MX550 GPU, 2 GB",NVIDIA,512 GB SSD Storage,No HDD,65,65W Adapter
449,Dell,Dell Inspiron 14 5410 (D560632WIN9S) Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::597800::computer::laptops,79299,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 4.7 Ghz Processor,LCD,14 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,65, Upto 6 Hrs Battery Life
2413,MSI,MSI Modern 15 B12M-227IN Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::599050::computer::laptops,51900,Intel Core i5 (12th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,no,39.3W Adapter
490,ASUS,ASUS TUF Dash F15 FX517ZR-HQ030WS Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 1 TB SSD)::596179::computer::laptops,164980,Intel Core i7 (12th Gen),Intel, 32 GB Expandable,16 GB , DDR5 RAM , 2.7 Ghz Processor,LCD,15.6 ,"GeForce RTX 3070 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,65, Upto 8 Hrs Battery Life
1134,MSI,MSI Crosshair 16 HX D14VFKG-206IN Laptop (16 Inch | Core i7 14th Gen | 16 GB | Windows 11 | 1 TB SSD)::616834::computer::laptops,159990,Intel Core i7 (14th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 5.5 Ghz Processor,LCD,16 ,"GeForce RTX 4060 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,no,
93,HP,HP 14s-dy2507TU (6N024PA) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 256 GB SSD)::596544::computer::laptops,33990,Intel Core i3 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,14 ,UHD,Intel,256 GB SSD Storage,No HDD,65,65W Adapter
307,HP,HP 15-fd0013TU (7P705PA) Laptop (15.6 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 512 GB SSD)::611237::computer::laptops,56999,Intel Core i5 (13th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 3.4 Ghz Processor,LCD,15.6 ,Integrated,Intel,512 GB SSD Storage,No HDD,no,
3101,Lenovo,Lenovo ThinkBook 14 (20VDA0QTIH) Laptop (14 Inch | Core i5 11th Gen | 8 GB | DOS | 512 GB SSD)::597679::computer::laptops,65090,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 2.4 Ghz Processor,LCD,14 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,65, Upto 6 Hrs Battery Life
1370,ASUS,ASUS ROG Flow X13 GV301QH-K5459TS Laptop (13.4 Inch | AMD Octa Core Ryzen 9 | 32 GB | Windows 10 | 1 TB SSD)::587032::computer::laptops,149990,AMD Octa-Core Ryzen 9,AMD, 32 GB Expandable,32 GB LP, LPDDR4X RAM , 3.1 Ghz Processor,LED,13.4 ,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,1024 GB SSD Storage,No HDD,100,100W Adapter
1466,HP,HP 15q-bu016tu (3DY20PA) Laptop (15.6 Inch | Pentium Quad Core | 4 GB | Windows 10 | 1 TB HDD)::576844::computer::laptops,22990,Intel Pentium Quad-Core,Intel,Not Expandable,4 GB , DDR3 RAM, 1.6 Ghz Processor,LED,15.6 ,HD 405,Intel,NO SSD,1024 GB HDD Storage,41,41W Adapter
4401,ASUS,ASUS Vivobook 16X K3605VC-MB951WS Laptop (16 Inch | Core i9 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::611229::computer::laptops,109990,Intel Core i9 (13th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.6 Ghz Processor,LCD,16 ,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,1024 GB SSD Storage,No HDD,120, Upto 6 Hrs Battery Life
2468,Acer,Acer Aspire 5 A515-58P (UN.KHJSI.002) Laptop (15.6 Inch | Core i3 13th Gen | 8 GB | Windows 11 | 512 GB SSD)::616100::computer::laptops,37990,Intel Core i3 (13th Gen) Processor,Intel,Not Expandable,8 GB LP, LPDDR5 RAM,0,LCD,15.6 ,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
905,ASUS,ASUS VivoBook S14 OLED Intel Evo S3402ZA-KM702WS Laptop (14 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::595440::computer::laptops,75990,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 3.0 Ghz Processor,LED,14 ,Iris Xe,Intel,512 GB SSD Storage,No HDD,90,90W Adapter
564,Dell,Dell Inspiron 14 5430 (IN5430JNH1P001ORS1) Laptop (14 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::613332::computer::laptops,69990,Intel Core i5 (13th Gen),Intel,Not Expandable,16 GB LP, LPDDR5 RAM, 3.4 Ghz Processor,LCD,14 ,Iris Xe,Intel,1024 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life
3619,Dell,Dell G3 15 3590 (C566517WIN9) Laptop (15.6 Inch | Core i7 9th Gen | 8 GB | Windows 10 | 1 TB HDD 512 GB SSD)::575644::computer::laptops,85750,Intel Core i7 (9th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 2.6 Ghz Processor,LED,15.6 ,"Geforce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage , 1024 GB HDD Storage,51,51W Adapter
3475,Lenovo,Lenovo Ideapad 330 (81DE033UIN) Laptop (15.6 Inch | Core i3 7th Gen | 8 GB | DOS | 1 TB HDD)::575707::computer::laptops,29990,Intel Core i3 (7th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 2.3 Ghz Processor,LED,15.6 ,HD 620,Intel,NO SSD,1024 GB HDD Storage,45,45W Adapter
3163,Lenovo,Lenovo LOQ 15IAX9 (83GS00CKIN) Laptop (15.6 Inch | Core i5 12th Gen | 24 GB | Windows 11 | 512 GB SSD)::618906::computer::laptops,65422,Intel Core i5 (12th Gen),Intel, 32 GB Expandable,24 GB , DDR5 RAM , 3.1 Ghz Processor,LCD,15.6 ,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135, Upto 6 Hrs Battery Life
3470,AVITA,AVITA Essential NE14A2INC433 Laptop (14 Inch | Celeron Dual Core | 4 GB | Windows 10 | 128 GB SSD)::583479::computer::laptops,22990,Intel Celeron Dual-Core,Intel,Not Expandable,4 GB LP, LPDDR4 RAM, 1.1 Ghz Processor,LED,14 ,UHD 600,Intel,128 GB SSD Storage,No HDD,no,
3528,Apple,Apple MacBook Pro MWP52HN/A Ultrabook (13 Inch | Core i5 10th Gen | 16 GB | macOS Catalina | 1 TB SSD)::581677::computer::laptops,177990,Intel Core i5 (10th Gen),Intel, 32 GB Expandable,16 GB LP, LPDDR4X RAM , 2.0 Ghz Processor,LED,13 ,Iris Plus,Intel,1024 GB SSD Storage,No HDD,61,61W Adapter
3136,Lenovo,Lenovo Thinkpad T14 (20S0S1MC00) Laptop (14 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 512 GB SSD)::583299::computer::laptops,110790,Intel Core i7 (10th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 1.8 Ghz Processor,LED,14 ,"GeForce MX330 GPU, 2 GB",NVIDIA,512 GB SSD Storage,No HDD,45,45W Adapter
2647,ASUS,ASUS VivoBook Pro 15 M6500QF-HN521WS Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::612038::computer::laptops,49990,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,8 GB , DDR4 RAM, 3.3 Ghz Processor,LCD,15.6 ,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,120,120W Adapter
4343,MSI,MSI GS65 Stealth 9SE-636IN Laptop (15.6 Inch | Core i7 9th Gen | 16 GB | Windows 10 | 512 GB SSD)::576027::computer::laptops,184990,2.6 Ghz Processor,2.6, 32 GB Expandable,16 GB , DDR4 RAM ,0,LED,15.6 ,"GeForce RTX 2060 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,51,51W Adapter
1733,AVITA,AVITA Cosmos NS12T5IN025P Laptop (11.6 Inch | Celeron Dual Core | 4 GB | Windows 10 | 64 GB SSD)::585999::computer::laptops,11807,Intel Celeron Dual-Core,Intel,Not Expandable,4 GB , DDR4 RAM, 2.6 Ghz Processor,LED,11.6 ,UHD 600,Intel,64 GB SSD Storage,No HDD,no,
3171,HP,HP 15s-fy5011TU (A4KF2PA) Laptop (15.6 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::618901::computer::laptops,36990,Intel Core i3 (12th Gen),Intel, 8 GB Expandable,8 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6 ,UHD,Intel,512 GB SSD Storage,No HDD,no,
1757,Lenovo,Lenovo Ideapad S145 (81MV00WRIN) Laptop (15.6 Inch | Core i5 8th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::575768::computer::laptops,44990,Intel Core i5 (8th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 1.6 Ghz Processor,LED,15.6 ,UHD 620,Intel,256 GB SSD Storage , 1024 GB HDD Storage,45,45W Adapter
4310,MSI,MSI GS65 8SE-206IN Laptop (15.6 Inch | Core i7 8th Gen | 16 GB | Windows 10 | 512 GB SSD)::576161::computer::laptops,120235,Intel Core i7 (8th Gen),Intel, 32 GB Expandable,16 GB , DDR4 RAM , 2.2 Ghz Processor,LED,15.6 ,"GeForce RTX 2060 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,180,180W Adapter
1662,Honor,Honor MagicBook X 15 Laptop (15.6 Inch | Core i3 10th Gen | 8 GB | Windows 10 | 256 GB SSD)::594707::computer::laptops,35865,Intel Core i3 (10th Gen),Intel,Not Expandable,8 GB RAM, RAM, 4.2 Ghz Processor,LCD,15.6 ,UHD,Intel,256 GB SSD Storage,No HDD,42, Upto 7.8 Hrs Battery Life
1005,ASUS,ASUS ROG Strix Scar 16 G634JYR-RA001WS Laptop (16 Inch | Core i9 14th Gen | 32 GB | Windows 11 | 2 TB SSD)::616289::computer::laptops,329990,Intel Core i9 (14th Gen),Intel, 64 GB Expandable,32 GB , DDR5 RAM , 2.2 Ghz Processor,LCD,16 ,"GeForce RTX 4090 GPU, 16 GB",NVIDIA,2048 GB SSD Storage,No HDD,330,330W Adapter
2421,Dell,Dell Vostro 3420 (D552339WIN9S) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::612919::computer::laptops,39990,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,14 ,UHD,Intel,512 GB SSD Storage,No HDD,no,Upto 4 Hrs Battery Life
4284,ASUS,ASUS TUF Dash F15 FX516PR-AZ024TS Laptop (15.6 Inch | Core i7 11th Gen | 16 GB | Windows 10 | 1 TB SSD)::585224::computer::laptops,149990,Intel Core i7 (11th Gen) Processor,Intel,Not Expandable,16 GB , DDR4 RAM,0,LED,15.6 ,"GeForce RTX 3070 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,200,200W Adapter
1496,ASUS,ASUS F560UD-BQ237T Laptop (15.6 Inch | Core i5 8th Gen | 8 GB | Windows 10 | 1 TB HDD)::576748::computer::laptops,52990,Intel Core i5 (8th Gen),Intel, 32 GB Expandable,8 GB , DDR4 RAM , 1.6 Ghz Processor,LED,15.6 ,"GeForce GTX 1050 GPU, 4 GB",NVIDIA,NO SSD,1024 GB HDD Storage,36,36W Adapter
